"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 07 20:49:53 GMT+04:00 2026","Tue Jul 07 20:49:56 GMT+04:00 2026","3752","tests","test_main_page","TestMainPage","","","Переход по клику на Конструктор",""
"passed","Tue Jul 07 20:50:00 GMT+04:00 2026","Tue Jul 07 20:50:05 GMT+04:00 2026","4556","tests","test_main_page","TestMainPage","","","Переход по клику на Лента заказов",""
"passed","Tue Jul 07 20:50:43 GMT+04:00 2026","Tue Jul 07 20:50:55 GMT+04:00 2026","11618","tests","test_orders_page","TestOrdersPage","","","После создания заказа счётчик Выполнено за сегодня увеличивается",""
"passed","Tue Jul 07 20:50:08 GMT+04:00 2026","Tue Jul 07 20:50:11 GMT+04:00 2026","2918","tests","test_main_page","TestMainPage","","","При клике на ингредиент открывается модальное окно",""
"passed","Tue Jul 07 20:51:01 GMT+04:00 2026","Tue Jul 07 20:51:10 GMT+04:00 2026","9478","tests","test_orders_page","TestOrdersPage","","","После оформления заказа его номер появляется в разделе В работе",""
"passed","Tue Jul 07 20:50:27 GMT+04:00 2026","Tue Jul 07 20:50:37 GMT+04:00 2026","10015","tests","test_orders_page","TestOrdersPage","","","После создания заказа счётчик Выполнено за всё время увеличивается",""
"passed","Tue Jul 07 20:50:15 GMT+04:00 2026","Tue Jul 07 20:50:17 GMT+04:00 2026","2454","tests","test_main_page","TestMainPage","","","Модальное окно ингредиента закрывается по клику на крестик",""
"passed","Tue Jul 07 20:50:21 GMT+04:00 2026","Tue Jul 07 20:50:23 GMT+04:00 2026","2562","tests","test_main_page","TestMainPage","","","При добавлении ингредиента в заказ счётчик увеличивается",""
